"","stimulusType","stimulusValue","stimulusValueType","cueValue","cueValueType","correctResponse","shiftingType","keyCode1","keyLabel1","keyLabelType1","response1","keyIndex1","keyCode2","keyLabel2","keyLabelType2","response2","keyIndex2"
"1","size",7,"text","shifting_size.png","image","greater","start","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"2","size",8,"text","shifting_size.png","image","greater","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"3","size",2,"text","shifting_size.png","image","less","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"4","size",6,"text","shifting_size.png","image","greater","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"5","size",6,"text","shifting_size.png","image","greater","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"6","parity",3,"text","shifting_parity.png","image","odd","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"7","size",9,"text","shifting_size.png","image","greater","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"8","parity",4,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"9","parity",7,"text","shifting_parity.png","image","odd","repetition","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"10","parity",1,"text","shifting_parity.png","image","odd","repetition","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"11","size",1,"text","shifting_size.png","image","less","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"12","parity",2,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"13","parity",2,"text","shifting_parity.png","image","even","repetition","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"14","size",4,"text","shifting_size.png","image","less","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"15","size",1,"text","shifting_size.png","image","less","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"16","parity",3,"text","shifting_parity.png","image","odd","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"17","parity",1,"text","shifting_parity.png","image","odd","repetition","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"18","size",6,"text","shifting_size.png","image","greater","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"19","size",9,"text","shifting_size.png","image","greater","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"20","size",6,"text","shifting_size.png","image","greater","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"21","parity",2,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"22","size",6,"text","shifting_size.png","image","greater","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"23","size",2,"text","shifting_size.png","image","less","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"24","parity",6,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"25","parity",6,"text","shifting_parity.png","image","even","repetition","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"26","size",2,"text","shifting_size.png","image","less","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"27","size",9,"text","shifting_size.png","image","greater","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"28","size",8,"text","shifting_size.png","image","greater","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"29","parity",2,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"30","parity",2,"text","shifting_parity.png","image","even","repetition","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"31","size",1,"text","shifting_size.png","image","less","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"32","parity",7,"text","shifting_parity.png","image","odd","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"33","size",4,"text","shifting_size.png","image","less","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"34","parity",8,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"35","size",1,"text","shifting_size.png","image","less","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"36","parity",6,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"37","size",9,"text","shifting_size.png","image","greater","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"38","parity",2,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"39","size",9,"text","shifting_size.png","image","greater","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"40","size",4,"text","shifting_size.png","image","less","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"41","size",4,"text","shifting_size.png","image","less","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"42","size",8,"text","shifting_size.png","image","greater","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"43","parity",2,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"44","parity",3,"text","shifting_parity.png","image","odd","repetition","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"45","size",9,"text","shifting_size.png","image","greater","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"46","parity",8,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"47","size",7,"text","shifting_size.png","image","greater","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"48","parity",1,"text","shifting_parity.png","image","odd","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"49","size",4,"text","shifting_size.png","image","less","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"50","size",9,"text","shifting_size.png","image","greater","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"51","size",4,"text","shifting_size.png","image","less","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"52","size",2,"text","shifting_size.png","image","less","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"53","parity",8,"text","shifting_parity.png","image","even","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"54","parity",8,"text","shifting_parity.png","image","even","repetition","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"55","parity",3,"text","shifting_parity.png","image","odd","repetition","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"56","size",7,"text","shifting_size.png","image","greater","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"57","size",7,"text","shifting_size.png","image","greater","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"58","size",4,"text","shifting_size.png","image","less","repetition","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
"59","parity",1,"text","shifting_parity.png","image","odd","switch","ArrowLeft","shifting_even.png","image","even",0,"ArrowRight","shifting_odd.png","image","odd",1
"60","size",3,"text","shifting_size.png","image","less","switch","ArrowLeft","shifting_less.png","image","less",0,"ArrowRight","shifting_greater.png","image","greater",1
